,block,trial,audio,S1,S2,S3,repetition_found
18,1,16,"['goorshell.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']",Picture3.png,Picture10.png,Picture9.png,1
19,1,17,"['bimdah.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']",Picture9.png,Picture7.png,Picture8.png,0
20,1,18,"['haagle.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']",Picture4.png,Picture10.png,Picture9.png,0
21,1,19,"['nellby.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'pakrid.wav', 'barget.wav']",Picture1.png,Picture7.png,Picture5.png,0
22,1,20,"['nellby.wav', 'chelad.wav', 'jeelow.wav', 'sumbark.wav', 'rakken.wav', 'barget.wav']",Picture1.png,Picture2.png,Picture6.png,0
0,2,21,"['pakrid.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'jeelow.wav', 'barget.wav']",Picture5.png,Picture10.png,Picture2.png,0
1,2,22,"['dingep.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'limeber.wav', 'barget.wav']",Picture8.png,Picture10.png,Picture7.png,0
2,2,23,"['goorshell.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']",Picture3.png,Picture8.png,Picture9.png,0
3,2,24,"['goorshell.wav', 'chelad.wav', 'rakken.wav', 'sumbark.wav', 'limeber.wav', 'barget.wav']",Picture3.png,Picture6.png,Picture7.png,1
4,2,25,"['goorshell.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'jeelow.wav', 'barget.wav']",Picture3.png,Picture9.png,Picture2.png,0
5,2,26,"['pakrid.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']",Picture5.png,Picture7.png,Picture9.png,0
6,2,26,"['pakrid.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']",Picture5.png,Picture7.png,Picture9.png,0
7,2,27,"['fisslin.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']",Picture10.png,Picture1.png,Picture9.png,0
8,2,28,"['bimdah.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'pakrid.wav', 'barget.wav']",Picture9.png,Picture10.png,Picture5.png,0
9,2,29,"['haagle.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'jeelow.wav', 'barget.wav']",Picture4.png,Picture1.png,Picture2.png,0
10,2,30,"['rakken.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']",Picture6.png,Picture7.png,Picture8.png,0
11,2,31,"['jeelow.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'limeber.wav', 'barget.wav']",Picture2.png,Picture8.png,Picture7.png,0
12,2,32,"['bimdah.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'fisslin.wav', 'barget.wav']",Picture9.png,Picture1.png,Picture10.png,0
13,2,33,"['rakken.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'limeber.wav', 'barget.wav']",Picture6.png,Picture1.png,Picture7.png,0
